order_id,order_date,customer_segment,city,category,quantity,unit_price,discount_pct,payment_status
RT-1001,2026-01-03,Student,Chennai,Learning Kit,2.0,799,10.0,Paid
RT-1002,,Fresher,Bengaluru,Course Access,1.0,1499,0.0,Paid
RT-1003,2026-01-05,Student,Chennai,Course Access,1.0,1499,,Pending
RT-1004,2026-01-07,Professional,Hyderabad,Learning Kit,3.0,799,5.0,Paid
RT-1005,2026-01-09,Fresher,,Mentor Session,1.0,999,0.0,Failed
RT-1006,,Student,Pune,Learning Kit,,799,10.0,Paid
RT-1007,2026-01-12,Professional,Mumbai,Mentor Session,2.0,999,,Paid
RT-1008,2026-01-14,Fresher,Bengaluru,Course Access,,1499,0.0,Pending
RT-1009,2026-01-16,Student,Chennai,Learning Kit,1.0,799,0.0,Paid
RT-1010,2026-01-18,Professional,Delhi,Course Access,2.0,1499,15.0,Refunded
RT-1011,,Student,Kochi,Mentor Session,1.0,999,0.0,Paid
